"","stk.name","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"alpha","Chilko","2.2945696356237","0.204751531310048","1.8945558858821","2.15683161744695","2.29375065765632","2.43041368139675","2.69559212917483","1.00095295602973","10000"
"beta0","Chilko","0.863163655330585","0.282792609643958","0.291932426610976","0.671457991537863","0.864780379327246","1.05481015311495","1.41911166230405","1.00088690160868","10000"
"beta1","Chilko","0.63599921063753","0.26652379334741","0.137869589020643","0.452324488425871","0.626193483864391","0.814156461980479","1.18336836807624","1.00092577425168","10000"
"beta2","Chilko","0.78652686218821","0.273682361874554","0.246312458961625","0.598119516580573","0.787160275987513","0.969570509821175","1.3273757577586","1.0010591244759","9600"
"beta3","Chilko","0.396865978700676","0.23414673324862","0.0280652426508307","0.217972456991243","0.374078347232545","0.551523750670321","0.902686828517922","1.00093033710782","10000"
"deviance","Chilko","137.728059165938","3.65546485831121","132.63448731777","135.043448174599","137.096739165995","139.727987406773","146.481764661727","1.00095751496034","10000"
"sigma","Chilko","0.817794501753571","0.0790662504565943","0.678436809240382","0.762102986833797","0.811605849758499","0.867383352657896","0.988630952067618","1.00122231315297","5900"
"alpha","Seymour","1.83922766549248","0.16474084510083","1.51035115836403","1.72869320149724","1.83924168832437","1.94962928973272","2.15902525024119","1.00122436679986","5900"
"beta0","Seymour","3.53589845445508","1.35291593124714","1.04272773323204","2.56199185405221","3.50465672069172","4.4658609117706","6.26372170869348","1.00083168073249","10000"
"beta1","Seymour","4.7225806697224","1.36947515713699","2.01382749852192","3.81183883373246","4.74060730600397","5.65469049482403","7.39919763024384","1.00117320844068","6700"
"beta2","Seymour","3.43622538737479","1.33201995592923","0.812803475609852","2.52904609031852","3.41898901812939","4.32829557618625","6.07256142440666","1.00112925587099","7600"
"beta3","Seymour","4.79166211687644","1.37970386982998","2.09978253469036","3.8729657143155","4.78628442798079","5.72195291792737","7.48494502179907","1.0008861551687","10000"
"deviance","Seymour","-222.220087757542","3.58912457706732","-227.39253062753","-224.888067283649","-222.817872887089","-220.233742382061","-213.635618559203","1.00087981776241","10000"
"sigma","Seymour","0.84352979425694","0.0807187688337063","0.703065300978285","0.787007473984604","0.836791811904465","0.893941145368079","1.020414203932","1.00084507205081","10000"
"alpha","L. Shuswap","2.2961430265754","0.276605915105918","1.75352013518995","2.11154531961308","2.29741063045388","2.47722034802246","2.83109339671657","1.00130691679258","4900"
"beta0","L. Shuswap","0.322943948249023","0.115604977163485","0.10255319024172","0.241274523274475","0.32263215242799","0.400985408665118","0.551141295641539","1.00112831871729","7600"
"beta1","L. Shuswap","0.526159221411762","0.114758157269384","0.297537783715916","0.450619824344787","0.525569542720661","0.602408219147085","0.752546547399048","1.00092962576982","10000"
"beta2","L. Shuswap","0.426285543726097","0.113840385649376","0.197961715902164","0.352458260924847","0.426779801879276","0.501015959315464","0.647055145254302","1.0011700955243","6700"
"beta3","L. Shuswap","0.328670774107528","0.111541254784","0.106378285242524","0.253527884945676","0.33047641736585","0.403380178778024","0.543944091318223","1.00122383261137","5900"
"deviance","L. Shuswap","-70.5571574442338","3.7598822318176","-75.8888858300627","-73.351089674061","-71.2214737715801","-68.4636930389051","-61.4580493658761","1.00092638865604","10000"
"sigma","L. Shuswap","1.10652784430663","0.106173415982228","0.921090531480322","1.03152551258969","1.09795418342201","1.17359216702968","1.33600099194499","1.00083624209277","10000"
"alpha","Birkenhead","2.03548145061806","0.285503904718791","1.49417167848819","1.83994005610574","2.02715118468765","2.22379303189563","2.61477244397027","1.00096993595968","10000"
"beta0","Birkenhead","4.71868210987859","1.89666703657315","1.45242513301849","3.3221375639018","4.61929456274248","5.966225320377","8.65892269352159","1.00099116303393","10000"
"beta1","Birkenhead","3.2027365857159","1.80517955906495","0.250212407055524","1.81770942368538","3.06251535957138","4.38632964985981","7.09709935162004","1.00366922003352","2100"
"beta2","Birkenhead","1.43468624755194","1.13801027922721","0.0516824015312582","0.549314899638789","1.17598394300708","2.06480715586032","4.30246956590175","1.00103596635901","10000"
